PROBEID	GENENAME
206507_at	zinc finger and SCAN domain containing 12
206508_at	CD70 molecule
206509_at	prolactin-induced protein
206510_at	SIX homeobox 2
206511_s_at	SIX homeobox 2
206512_at	signal recognition particle 19kDa
206512_at	zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 1
206513_at	absent in melanoma 2
206514_s_at	cytochrome P450, family 4, subfamily F, polypeptide 3
206514_s_at	cytochrome P450, family 4, subfamily F, polypeptide 2
206515_at	cytochrome P450, family 4, subfamily F, polypeptide 3
206516_at	anti-Mullerian hormone
206516_at	microRNA 4321
206517_at	cadherin 16, KSP-cadherin
206518_s_at	regulator of G-protein signaling 9
206519_x_at	sialic acid binding Ig-like lectin 6
206520_x_at	sialic acid binding Ig-like lectin 6
206521_s_at	general transcription factor IIA, 1, 19/37kDa
206522_at	maltase-glucoamylase
206523_at	cytohesin 3
206524_at	T brachyury transcription factor
206525_at	gamma-aminobutyric acid (GABA) A receptor, rho 1
206526_at	RIB43A domain with coiled-coils 2
206527_at	4-aminobutyrate aminotransferase
206528_at	transient receptor potential cation channel, subfamily C, member 6
206529_x_at	solute carrier family 26 (anion exchanger), member 4
206530_at	RAB30, member RAS oncogene family
206531_at	D4, zinc and double PHD fingers family 1
206532_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
206533_at	cholinergic receptor, nicotinic, alpha 5 (neuronal)
206534_at	glutamate receptor, ionotropic, N-methyl D-aspartate 2A
206535_at	solute carrier family 2 (facilitated glucose transporter), member 2
206536_s_at	X-linked inhibitor of apoptosis, E3 ubiquitin protein ligase
206537_at	X-linked inhibitor of apoptosis, E3 ubiquitin protein ligase
206538_at	muscle RAS oncogene homolog
206539_s_at	cytochrome P450, family 4, subfamily F, polypeptide 12
206540_at	galactosidase, beta 1-like
206541_at	kallikrein B, plasma (Fletcher factor) 1
206542_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
206543_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
206544_x_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
206545_at	CD28 molecule
206546_at	synaptonemal complex protein 2
206547_s_at	protein phosphatase, EF-hand calcium binding domain 1
206548_at	NA
206549_at	insulin-like 4 (placenta)
206550_s_at	nucleoporin 155kDa
206551_x_at	kelch-like family member 24
206552_s_at	tachykinin, precursor 1
206553_at	2'-5'-oligoadenylate synthetase 2, 69/71kDa
206554_x_at	SET domain and mariner transposase fusion gene
206555_s_at	THUMP domain containing 1
206556_at	clusterin-like 1 (retinal)
206557_at	zinc finger protein 702, pseudogene
206558_at	single-minded family bHLH transcription factor 2
206559_x_at	eukaryotic translation elongation factor 1 alpha 1
206560_s_at	melanoma inhibitory activity
206561_s_at	aldo-keto reductase family 1, member B10 (aldose reductase)
206562_s_at	casein kinase 1, alpha 1
206563_s_at	opiate receptor-like 1
206564_at	opiate receptor-like 1
206565_x_at	glucuronidase, beta pseudogene
206566_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1
206567_s_at	PHD finger protein 20
206568_at	transition protein 1 (during histone to protamine replacement)
206569_at	interleukin 24
206570_s_at	pregnancy specific beta-1-glycoprotein 11
206571_s_at	mitogen-activated protein kinase kinase kinase kinase 4
206572_x_at	zinc finger protein 85
206573_at	potassium channel, voltage gated KQT-like subfamily Q, member 3
206574_s_at	protein tyrosine phosphatase type IVA, member 3
206575_at	cyclin-dependent kinase-like 5
206576_s_at	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
206577_at	vasoactive intestinal peptide
206578_at	NK2 homeobox 5
206579_at	zinc finger with KRAB and SCAN domains 8
206580_s_at	EGF containing fibulin-like extracellular matrix protein 2
206581_at	basonuclin 1
206582_s_at	adhesion G protein-coupled receptor G1
206583_at	KRAB box domain containing 4
206584_at	lymphocyte antigen 96
206585_at	makorin ring finger protein 3
206586_at	cannabinoid receptor 2 (macrophage)
206587_at	chaperonin containing TCP1, subunit 6B (zeta 2)
206588_at	deleted in azoospermia-like
206589_at	growth factor independent 1 transcription repressor
206590_x_at	dopamine receptor D2
206591_at	recombination activating gene 1
206592_s_at	adaptor-related protein complex 3, delta 1 subunit
206593_s_at	mediator complex subunit 22
206594_at	PAS domain containing serine/threonine kinase
206595_at	cystatin E/M
206596_s_at	neural retina leucine zipper
206597_at	neural retina leucine zipper
206598_at	insulin
206599_at	solute carrier family 16 (monocarboxylate transporter), member 5
206600_s_at	solute carrier family 16 (monocarboxylate transporter), member 5
206601_s_at	homeobox D3
206601_s_at	homeobox D4
206601_s_at	uncharacterized LOC401021
206602_s_at	homeobox D3
206602_s_at	homeobox D4
206602_s_at	uncharacterized LOC401021
206603_at	solute carrier family 2 (facilitated glucose transporter), member 4
206604_at	ovo-like zinc finger 1
206605_at	endonuclease, polyU-specific
206606_at	lipase, hepatic
206607_at	Cbl proto-oncogene, E3 ubiquitin protein ligase
206608_s_at	retinitis pigmentosa GTPase regulator interacting protein 1
206609_at	melanoma antigen family C1
206610_s_at	coagulation factor XI
206611_at	chromosome 2 open reading frame 27A
206612_at	calcium channel, voltage-dependent, gamma subunit 1
206613_s_at	TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa
206614_at	growth differentiation factor 5
206615_s_at	ADAM metallopeptidase domain 22
206616_s_at	ADAM metallopeptidase domain 22
206617_s_at	renin binding protein
206618_at	interleukin 18 receptor 1
206619_at	dickkopf WNT signaling pathway inhibitor 4
206620_at	GRB2-related adaptor protein
206621_s_at	eukaryotic translation initiation factor 4H
206622_at	thyrotropin-releasing hormone
206623_at	phosphodiesterase 6A, cGMP-specific, rod, alpha
206624_at	ubiquitin specific peptidase 9, Y-linked
206625_at	peripherin 2 (retinal degeneration, slow)
206626_x_at	synovial sarcoma, X breakpoint 1
206627_s_at	synovial sarcoma, X breakpoint 1
206628_at	solute carrier family 5 (sodium/glucose cotransporter), member 1
206629_at	ADAMTS-like 2
206630_at	tyrosinase
206631_at	prostaglandin E receptor 2 (subtype EP2), 53kDa
206632_s_at	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
206633_at	cholinergic receptor, nicotinic, alpha 1 (muscle)
206634_at	SIX homeobox 3
206635_at	cholinergic receptor, nicotinic, beta 2 (neuronal)
206636_at	RAS p21 protein activator 2
206637_at	purinergic receptor P2Y, G-protein coupled, 14
206638_at	5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled
206639_x_at	histatin 1
206640_x_at	G antigen 12I
206640_x_at	G antigen 2C
206640_x_at	G antigen 4
206640_x_at	G antigen 5
206640_x_at	G antigen 6
206640_x_at	G antigen 7
206640_x_at	G antigen 12G
206640_x_at	G antigen 12C
206640_x_at	G antigen 12B
206640_x_at	G antigen 12E
206640_x_at	G antigen 12H
206640_x_at	G antigen 2A
206640_x_at	G antigen 12F
206640_x_at	G antigen 12D
206641_at	tumor necrosis factor receptor superfamily, member 17
206642_at	desmoglein 1
206643_at	histidine ammonia-lyase
206644_at	nuclear receptor subfamily 0, group B, member 1
206645_s_at	nuclear receptor subfamily 0, group B, member 1
206646_at	GLI family zinc finger 1
206647_at	hemoglobin, zeta
206648_at	zinc finger protein 571
206649_s_at	transcription factor binding to IGHM enhancer 3
206650_at	IQ motif containing C
206651_s_at	carboxypeptidase B2 (plasma)
206652_at	zinc finger, MYM-type 5
206653_at	polymerase (RNA) III (DNA directed) polypeptide G (32kD)
206654_s_at	polymerase (RNA) III (DNA directed) polypeptide G (32kD)
206655_s_at	glycoprotein Ib (platelet), beta polypeptide
206655_s_at	septin 5
206655_s_at	SEPT5-GP1BB readthrough
206656_s_at	adipocyte plasma membrane associated protein
206657_s_at	myogenic differentiation 1
206658_at	uroplakin 3B
206659_at	NA
206660_at	immunoglobulin lambda-like polypeptide 1
206661_at	DBF4 zinc finger B
206662_at	glutaredoxin (thioltransferase)
206663_at	Sp4 transcription factor
206664_at	sucrase-isomaltase (alpha-glucosidase)
206665_s_at	BCL2-like 1
206666_at	granzyme K (granzyme 3; tryptase II)
206667_s_at	secretory carrier membrane protein 1
206668_s_at	secretory carrier membrane protein 1
206669_at	glutamate decarboxylase 1 (brain, 67kDa)
206670_s_at	glutamate decarboxylase 1 (brain, 67kDa)
206671_at	S-antigen; retina and pineal gland (arrestin)
206672_at	aquaporin 2 (collecting duct)
206673_at	G protein-coupled receptor 176
206674_at	fms-related tyrosine kinase 3
206675_s_at	SKI-like proto-oncogene
206676_at	carcinoembryonic antigen-related cell adhesion molecule 8
206677_at	keratin 31, type I
206678_at	gamma-aminobutyric acid (GABA) A receptor, alpha 1
206679_at	amyloid beta (A4) precursor protein-binding, family A, member 1
206680_at	CD5 molecule-like
206681_x_at	glycoprotein 2 (zymogen granule membrane)
206682_at	C-type lectin domain family 10, member A
206683_at	zinc finger protein 165
206684_s_at	activating transcription factor 7
206685_at	HLA complex group 4 (non-protein coding)
206686_at	pyruvate dehydrogenase kinase, isozyme 1
206687_s_at	protein tyrosine phosphatase, non-receptor type 6
206688_s_at	cleavage and polyadenylation specific factor 4, 30kDa
206689_x_at	K(lysine) acetyltransferase 5
206690_at	acid sensing (proton gated) ion channel 2
206691_s_at	protein disulfide isomerase family A, member 2
206692_at	potassium channel, inwardly rectifying subfamily J, member 10
206693_at	interleukin 7
206694_at	pancreatic lipase-related protein 1
206695_x_at	zinc finger protein 43
206696_at	G protein-coupled receptor 143
206697_s_at	haptoglobin
206698_at	X-linked Kx blood group
206699_x_at	neuronal PAS domain protein 1
206700_s_at	lysine (K)-specific demethylase 5D
206701_x_at	endothelin receptor type B
206702_at	TEK tyrosine kinase, endothelial
206703_at	cholinergic receptor, nicotinic, beta 1 (muscle)
206704_at	chloride channel, voltage-sensitive 5
206705_at	tubby like protein 1
206706_at	neurotrophin 3
206707_x_at	family with sequence similarity 65, member B
206708_at	forkhead box N2
206709_x_at	glutamic-pyruvate transaminase (alanine aminotransferase)
206710_s_at	erythrocyte membrane protein band 4.1-like 3
206711_at	transmembrane protein 257
206712_at	growth hormone regulated TBC protein 1
206713_at	netrin G1
206714_at	arachidonate 15-lipoxygenase, type B
206715_at	transcription factor EC
206716_at	uromodulin
206717_at	myosin, heavy chain 8, skeletal muscle, perinatal
206718_at	LIM domain only 1 (rhombotin 1)
206719_at	synaptogyrin 4
206720_at	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
206721_at	coiled-coil domain containing 181
206722_s_at	lysophosphatidic acid receptor 2
206723_s_at	lysophosphatidic acid receptor 2
206724_at	chromobox homolog 4
206725_x_at	bone morphogenetic protein 1
206726_at	hematopoietic prostaglandin D synthase
206727_at	complement component 9
206728_at	endothelin converting enzyme 2
206729_at	tumor necrosis factor receptor superfamily, member 8
206730_at	glutamate receptor, ionotropic, AMPA 3
206731_at	connector enhancer of kinase suppressor of Ras 2
206732_at	SLIT and NTRK-like family, member 3
206733_at	tubby like protein 2
206734_at	JRK-like
206735_at	cholinergic receptor, nicotinic, alpha 4 (neuronal)
206736_x_at	cholinergic receptor, nicotinic, alpha 4 (neuronal)
206737_at	wingless-type MMTV integration site family, member 11
206738_at	apolipoprotein C-IV
206738_at	apolipoprotein C-II
206738_at	APOC4-APOC2 readthrough (NMD candidate)
206739_at	homeobox C5
206740_x_at	synaptonemal complex protein 1
206741_at	ssu-2 homolog (C. elegans)
206742_at	c-fos induced growth factor (vascular endothelial growth factor D)
206742_at	PIR-FIGF readthrough
206743_s_at	asialoglycoprotein receptor 1
206744_s_at	zinc finger, MYM-type 5
206745_at	homeobox C11
206746_at	beaded filament structural protein 1, filensin
206747_at	G protein regulated inducer of neurite outgrowth 2
206748_s_at	sperm associated antigen 9
206749_at	CD1b molecule
206750_at	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K
206751_s_at	phosphate cytidylyltransferase 1, choline, beta
206752_s_at	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)
206753_at	retinol dehydrogenase 16 (all-trans)
206754_s_at	cytochrome P450, family 2, subfamily B, polypeptide 6
206754_s_at	cytochrome P450, family 2, subfamily B, polypeptide 7, pseudogene
206755_at	cytochrome P450, family 2, subfamily B, polypeptide 6
206756_at	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7
206757_at	phosphodiesterase 5A, cGMP-specific
206758_at	endothelin 2
206759_at	Fc fragment of IgE, low affinity II, receptor for (CD23)
206760_s_at	Fc fragment of IgE, low affinity II, receptor for (CD23)
206761_at	CD96 molecule
206762_at	potassium channel, voltage gated shaker related subfamily A, member 5
206763_at	FK506 binding protein 6, 36kDa
206764_x_at	metallophosphoesterase 1
206765_at	potassium channel, inwardly rectifying subfamily J, member 2
206766_at	integrin, alpha 10
206767_at	RNA binding motif, single stranded interacting protein 3
206768_at	ribosomal protein L3-like
206769_at	thymosin beta 4, Y-linked
206770_s_at	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3
206771_at	uroplakin 3A
206772_at	parathyroid hormone 2 receptor
206773_at	lymphocyte antigen 6 complex, locus H
206774_at	FERM and PDZ domain containing 1
206775_at	cubilin (intrinsic factor-cobalamin receptor)
206776_x_at	acrosomal vesicle protein 1
206777_s_at	crystallin, beta B2
206777_s_at	crystallin, beta B2 pseudogene 1
206778_at	crystallin, beta B2
206779_s_at	acetylserotonin O-methyltransferase
206780_at	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)
206781_at	DnaJ (Hsp40) homolog, subfamily C, member 4
206782_s_at	DnaJ (Hsp40) homolog, subfamily C, member 4
206783_at	fibroblast growth factor 4
206784_at	aquaporin 8
206785_s_at	killer cell lectin-like receptor subfamily C, member 2
206785_s_at	killer cell lectin-like receptor subfamily C, member 1
206786_at	histatin 3
206787_at	bromodomain, testis-specific
206788_s_at	core-binding factor, beta subunit
206789_s_at	POU class 2 homeobox 1
206790_s_at	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa
206791_s_at	phosphodiesterase 4C, cAMP-specific
206791_s_at	uncharacterized LOC729966
206792_x_at	phosphodiesterase 4C, cAMP-specific
206792_x_at	uncharacterized LOC729966
206793_at	phenylethanolamine N-methyltransferase
206794_at	erb-b2 receptor tyrosine kinase 4
206795_at	coagulation factor II (thrombin) receptor-like 2
206796_at	WNT1 inducible signaling pathway protein 1
206797_at	N-acetyltransferase 2 (arylamine N-acetyltransferase)
206798_x_at	deleted in lung and esophageal cancer 1
206799_at	secretoglobin, family 1D, member 2
206800_at	methylenetetrahydrofolate reductase (NAD(P)H)
206801_at	natriuretic peptide B
206802_at	paired box 5
206803_at	prodynorphin
206804_at	CD3g molecule, gamma (CD3-TCR complex)
206805_at	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
206806_at	diacylglycerol kinase, iota
206807_s_at	adducin 2 (beta)
206808_at	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
206809_s_at	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
206809_s_at	heterogeneous nuclear ribonucleoprotein A3
206810_at	zinc finger protein 44
206810_at	zinc finger protein ZnFP12
206811_at	adenylate cyclase 8 (brain)
206812_at	adrenoceptor beta 3
206813_at	cardiotrophin 1
206814_at	nerve growth factor (beta polypeptide)
206815_at	sperm associated antigen 8
206816_s_at	sperm associated antigen 8
206817_x_at	CUGBP, Elav-like family member 3
206818_s_at	cyclin and CBS domain divalent metal cation transport mediator 2
206819_at	POM121 transmembrane nucleoporin-like 9, pseudogene
206820_at	ArfGAP with FG repeats 2
206821_x_at	ArfGAP with FG repeats 2
206822_s_at	l(3)mbt-like 1 (Drosophila)
206823_at	l(3)mbt-like 1 (Drosophila)
206824_at	carboxylesterase 1 pseudogene 1
206825_at	oxytocin receptor
206826_at	peripheral myelin protein 2
206827_s_at	transient receptor potential cation channel, subfamily V, member 6
206828_at	TXK tyrosine kinase
206829_x_at	zinc finger protein 430
206830_at	solute carrier family 4, sodium bicarbonate transporter, member 10
206831_s_at	arylsulfatase D
206832_s_at	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F
206833_s_at	acylphosphatase 2, muscle type
206834_at	hemoglobin, delta
206835_at	statherin
206836_at	solute carrier family 6 (neurotransmitter transporter), member 3
206837_at	ALX homeobox 1
206838_at	T-box 19
206839_at	chromosome 22 open reading frame 31
206840_at	afamin
206841_at	phosphodiesterase 6H, cGMP-specific, cone, gamma
206842_at	potassium channel, voltage gated Shal related subfamily D, member 1
206843_at	crystallin, beta A4
206844_at	fructose-1,6-bisphosphatase 2
206845_s_at	ring finger protein 40, E3 ubiquitin protein ligase
206846_s_at	histone deacetylase 6
206847_s_at	homeobox A7
206848_at	homeobox A7
206848_at	COX20 cytochrome c oxidase assembly factor
206849_at	gamma-aminobutyric acid (GABA) A receptor, gamma 2
206850_at	RAS-like, family 10, member A
206851_at	ribonuclease, RNase A family, 3
206852_at	EPH receptor A7
206853_s_at	mitogen-activated protein kinase kinase kinase 7
206854_s_at	mitogen-activated protein kinase kinase kinase 7
206855_s_at	hyaluronoglucosaminidase 2
206856_at	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5
206857_s_at	FK506 binding protein 1B, 12.6 kDa
206858_s_at	homeobox C6
206859_s_at	progestagen-associated endometrial protein
206860_s_at	missing oocyte, meiosis regulator, homolog (Drosophila)
206861_s_at	CGG triplet repeat binding protein 1
206862_at	zinc finger protein 254
206863_x_at	harakiri, BCL2 interacting protein
206864_s_at	harakiri, BCL2 interacting protein
206865_at	harakiri, BCL2 interacting protein
206866_at	cadherin 4, type 1, R-cadherin (retinal)
206867_at	glucokinase (hexokinase 4) regulator
206868_at	StAR-related lipid transfer (START) domain containing 8
206869_at	chondroadherin
206870_at	peroxisome proliferator-activated receptor alpha
206871_at	elastase, neutrophil expressed
206872_at	solute carrier family 17 (organic anion transporter), member 1
206873_at	carbonic anhydrase VI
206874_s_at	STE20-like kinase
206875_s_at	STE20-like kinase
206876_at	single-minded family bHLH transcription factor 1
206877_at	MAX dimerization protein 1
206878_at	D-amino-acid oxidase
206879_s_at	neuregulin 2
206880_at	purinergic receptor P2X, ligand gated ion channel, 6
206881_s_at	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3
206882_at	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6
206883_x_at	glycoprotein IX (platelet)
206884_s_at	sciellin
206885_x_at	growth hormone 1
206886_x_at	growth hormone 1
206887_at	atypical chemokine receptor 2
206888_s_at	Rho GDP dissociation inhibitor (GDI) gamma
206889_at	Rho GDP dissociation inhibitor (GDI) gamma
206889_at	protein disulfide isomerase family A, member 2
206890_at	interleukin 12 receptor, beta 1
206891_at	actinin, alpha 3 (gene/pseudogene)
206892_at	anti-Mullerian hormone receptor, type II
206893_at	spalt-like transcription factor 1
206894_at	apolipoprotein A-IV
206895_at	protein phosphatase 1, regulatory subunit 3A
206896_s_at	guanine nucleotide binding protein (G protein), gamma 7
206897_at	P antigen family, member 1 (prostate associated)
206898_at	cadherin 19, type 2
206899_at	neurotensin receptor 2
206900_x_at	zinc finger protein 253
206901_at	chromosome 19 open reading frame 57
206902_s_at	endo/exonuclease (5'-3'), endonuclease G-like
206903_at	endo/exonuclease (5'-3'), endonuclease G-like
206904_at	matrilin 1, cartilage matrix protein
206905_s_at	matrilin 1, cartilage matrix protein
206906_at	intercellular adhesion molecule 5, telencephalin
206907_at	tumor necrosis factor (ligand) superfamily, member 9
206908_s_at	claudin 11
206909_at	NA
206910_x_at	complement factor H-related 2
206911_at	tripartite motif containing 25
206912_at	forkhead box E1
206913_at	bile acid CoA:amino acid N-acyltransferase
206914_at	cytotoxic and regulatory T cell molecule
206915_at	NK2 homeobox 2
206916_x_at	tyrosine aminotransferase
206917_at	guanine nucleotide binding protein (G protein), alpha 13
206918_s_at	copine I
206919_at	ELK4, ETS-domain protein (SRF accessory protein 1)
206920_s_at	GLE1 RNA export mediator
206921_at	GLE1 RNA export mediator
206922_at	variable charge, Y-linked
206922_at	variable charge, Y-linked 1B
206923_at	protein kinase C, alpha
206924_at	interleukin 11
206925_at	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
206926_s_at	interleukin 11
206927_s_at	guanylate cyclase 1, soluble, alpha 2
206928_at	zinc finger protein 124
206929_s_at	nuclear factor I/C (CCAAT-binding transcription factor)
206930_at	glycine-N-acyltransferase
206931_at	zinc finger protein 141
206932_at	cholesterol 25-hydroxylase
206933_s_at	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
206934_at	signal-regulatory protein beta 1
206935_at	protocadherin 8
206936_x_at	NA
206937_at	spectrin, alpha, erythrocytic 1
206938_at	steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)
206939_at	DCC netrin 1 receptor
206940_s_at	POU class 4 homeobox 1
206941_x_at	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E
206942_s_at	pro-melanin-concentrating hormone
206943_at	transforming growth factor, beta receptor 1
206944_at	5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled
206945_at	lactase
206946_at	hyperpolarization activated cyclic nucleotide gated potassium channel 4
206947_at	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5
206948_at	sialidase 3 (membrane sialidase)
206949_s_at	RUN and SH3 domain containing 1
206950_at	sodium channel, voltage gated, type IX alpha subunit
206951_at	histone cluster 1, H4e
206952_at	glucose-6-phosphatase, catalytic subunit
206953_s_at	adhesion G protein-coupled receptor L2
206954_at	WT1 antisense RNA
206955_at	aquaporin 7
206955_at	putative aquaporin-7-like protein 3
206956_at	bone gamma-carboxyglutamate (gla) protein
206956_at	polyamine-modulated factor 1
206956_at	PMF1-BGLAP readthrough
206957_at	alanine-glyoxylate aminotransferase
206958_s_at	UPF3 regulator of nonsense transcripts homolog A (yeast)
206959_s_at	UPF3 regulator of nonsense transcripts homolog A (yeast)
206960_at	lysophosphatidic acid receptor 4
206961_s_at	mediator complex subunit 20
206962_x_at	NA
206963_s_at	N-acetyltransferase 8B (GCN5-related, putative, gene/pseudogene)
206963_s_at	N-acetyltransferase 8 (GCN5-related, putative)
206964_at	N-acetyltransferase 8B (GCN5-related, putative, gene/pseudogene)
206965_at	Kruppel-like factor 12
206966_s_at	Kruppel-like factor 12
206967_at	cyclin T1
206968_s_at	nuclear factor related to kappaB binding protein
206969_at	keratin 34, type I
206969_at	keratin, type I cuticular Ha4
206970_at	contactin 2 (axonal)
206971_at	G protein-coupled receptor 161
206972_s_at	G protein-coupled receptor 161
206973_at	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2
206974_at	chemokine (C-X-C motif) receptor 6
206975_at	lymphotoxin alpha
206976_s_at	heat shock 105kDa/110kDa protein 1
206977_at	parathyroid hormone
206978_at	chemokine (C-C motif) receptor 2
206979_at	complement component 8, beta polypeptide
206980_s_at	fms-related tyrosine kinase 3 ligand
206981_at	sodium channel, voltage gated, type IV alpha subunit
206982_at	crystallin, beta A1
206983_at	chemokine (C-C motif) receptor 6
206984_s_at	Ras-like without CAAX 2
206985_at	hydroxysteroid (17-beta) dehydrogenase 3
206986_at	fibroblast growth factor 18
206987_x_at	fibroblast growth factor 18
206988_at	chemokine (C-C motif) ligand 25
206989_s_at	SR-related CTD-associated factor 11
206990_at	tenascin R
206991_s_at	chemokine (C-C motif) receptor 5 (gene/pseudogene)
206992_s_at	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)
206993_at	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)
206994_at	cystatin S
206995_x_at	scavenger receptor class F, member 1
206996_x_at	calcium channel, voltage-dependent, beta 1 subunit
206997_s_at	heparan sulfate 6-O-sulfotransferase 1
206998_x_at	proline-rich protein BstNI subfamily 3
206999_at	interleukin 12 receptor, beta 2
207000_s_at	protein phosphatase 3, catalytic subunit, gamma isozyme
207001_x_at	TSC22 domain family, member 3
207002_s_at	pleiomorphic adenoma gene-like 1
207003_at	guanylate cyclase activator 1B (retina)
207003_at	guanylate cyclase activator 2A (guanylin)
207004_at	B-cell CLL/lymphoma 2
207005_s_at	B-cell CLL/lymphoma 2
207006_s_at	coiled-coil domain containing 106
207007_at	nuclear receptor subfamily 1, group I, member 3
207008_at	chemokine (C-X-C motif) receptor 2
207009_at	paired-like homeobox 2b
207010_at	gamma-aminobutyric acid (GABA) A receptor, beta 1
207011_s_at	protein tyrosine kinase 7 (inactive)
207012_at	matrix metallopeptidase 16 (membrane-inserted)
207013_s_at	matrix metallopeptidase 16 (membrane-inserted)
207014_at	gamma-aminobutyric acid (GABA) A receptor, alpha 2
207015_s_at	aldehyde dehydrogenase 1 family, member A2
207016_s_at	aldehyde dehydrogenase 1 family, member A2
207016_s_at	uncharacterized LOC101928635
207017_at	RAB27B, member RAS oncogene family
207018_s_at	RAB27B, member RAS oncogene family
207019_s_at	A kinase (PRKA) anchor protein 4
207020_at	heat shock transcription factor 2 binding protein
207021_at	zona pellucida binding protein
207022_s_at	lactate dehydrogenase C
207023_x_at	keratin 10, type I
207024_at	cholinergic receptor, nicotinic, delta (muscle)
207025_at	gap junction protein, gamma 2, 47kDa
207026_s_at	ATPase, Ca++ transporting, plasma membrane 3
207027_at	HGF activator
207028_at	MYCN opposite strand
207029_at	KIT ligand
207030_s_at	cysteine and glycine-rich protein 2
207031_at	NK3 homeobox 2
207032_s_at	cysteine-rich secretory protein 1
207033_at	gastric intrinsic factor (vitamin B synthesis)
207034_s_at	GLI family zinc finger 2
207035_at	solute carrier family 30 (zinc transporter), member 3
207036_x_at	glutamate receptor, ionotropic, N-methyl D-aspartate 2D
207037_at	tumor necrosis factor receptor superfamily, member 11a, NFKB activator
207038_at	solute carrier family 16, member 6
207039_at	cyclin-dependent kinase inhibitor 2A
207040_s_at	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
207041_at	mannan-binding lectin serine peptidase 2
207042_at	E2F transcription factor 2
207043_s_at	solute carrier family 6 (neurotransmitter transporter, glycine), member 9
207044_at	thyroid hormone receptor, beta
207045_at	VPS50 EARP/GARPII complex subunit
207046_at	histone cluster 2, H4a
207046_at	histone cluster 1, H4i
207046_at	histone cluster 1, H4a
207046_at	histone cluster 1, H4d
207046_at	histone cluster 1, H4f
207046_at	histone cluster 1, H4k
207046_at	histone cluster 1, H4j
207046_at	histone cluster 1, H4c
207046_at	histone cluster 1, H4h
207046_at	histone cluster 1, H4b
207046_at	histone cluster 1, H4e
207046_at	histone cluster 1, H4l
207046_at	histone cluster 4, H4
207046_at	histone cluster 2, H4b
207047_s_at	chloride channel, voltage-sensitive Ka
207047_s_at	chloride channel, voltage-sensitive Kb
207048_at	solute carrier family 6 (neurotransmitter transporter), member 11
207049_at	sodium channel, voltage gated, type VIII alpha subunit
207050_at	calcium channel, voltage-dependent, alpha 2/delta subunit 1
207051_at	solute carrier family 17, member 4
207052_at	hepatitis A virus cellular receptor 1
207053_at	solute carrier family 8 (sodium/calcium exchanger), member 1
207054_at	interphotoreceptor matrix proteoglycan 1
207055_at	G protein-coupled receptor 37 like 1
207056_s_at	solute carrier family 4, sodium bicarbonate cotransporter, member 8
207057_at	solute carrier family 16 (monocarboxylate transporter), member 7
207058_s_at	parkin RBR E3 ubiquitin protein ligase
207059_at	paired box 9
207060_at	engrailed homeobox 2
207061_at	endoplasmic reticulum to nucleus signaling 1
207062_at	islet amyloid polypeptide
207063_at	testis-specific transcript, Y-linked 14 (non-protein coding)
207064_s_at	amine oxidase, copper containing 2 (retina-specific)
207065_at	keratin 75, type II
207066_at	histidine rich calcium binding protein
207067_s_at	histidine decarboxylase
